City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,Mbabane,-26.32,31.13,50.0,100,0,1.12,SZ,2020-06-20 01:35:35
282,Haines Junction,60.75,-137.51,66.09,33,100,5.21,CA,2020-06-20 01:35:35
283,Aklavik,68.22,-135.01,53.6,87,90,5.82,CA,2020-06-20 01:35:35
284,Pozo Colorado,-23.49,-58.8,76.48,57,0,8.19,PY,2020-06-20 01:35:35
285,Grand Island,40.92,-98.34,71.6,64,90,5.82,US,2020-06-20 01:33:47
286,Ippy,6.27,21.22,68.9,97,100,1.83,CF,2020-06-20 01:35:36
287,Buchanan,5.88,-10.05,76.8,86,100,3.02,LR,2020-06-20 01:35:36
288,Ketchikan,55.34,-131.65,55.4,93,90,16.11,US,2020-06-20 01:35:36
289,Walvis Bay,-22.96,14.51,69.8,22,0,4.7,NA,2020-06-20 01:35:36
290,Yerbogachen,61.28,108.01,71.51,43,1,3.85,RU,2020-06-20 01:35:36
291,Talcahuano,-36.72,-73.12,53.6,100,75,4.7,CL,2020-06-20 01:35:37
292,Khowst,33.38,69.88,84.27,20,6,2.26,AF,2020-06-20 01:35:37
293,Necochea,-38.55,-58.74,46.99,81,0,4.0,AR,2020-06-20 01:35:37
294,Shingu,33.73,135.98,75.2,69,75,8.05,JP,2020-06-20 01:35:37
295,Mitsamiouli,-11.38,43.28,78.12,72,96,17.72,KM,2020-06-20 01:35:38
296,Mangrol,21.12,70.12,85.35,77,48,16.11,IN,2020-06-20 01:35:38
297,Aksarka,66.56,67.8,52.54,50,100,12.44,RU,2020-06-20 01:34:49
298,Bardiyah,31.76,25.09,70.7,71,0,12.44,LY,2020-06-20 01:35:38
299,Kavaratti,10.57,72.64,84.25,75,99,14.65,IN,2020-06-20 01:35:39
300,Kaitangata,-46.28,169.85,49.42,76,52,6.38,NZ,2020-06-20 01:34:38
301,North Bend,43.41,-124.22,63.0,82,1,9.17,US,2020-06-20 01:35:39
302,Chardara,41.25,67.97,76.57,28,0,2.62,KZ,2020-06-20 01:35:39
303,Narsaq,60.92,-46.05,42.8,70,98,9.17,GL,2020-06-20 01:35:39
