City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
124,marawi,PH,75.0,8.0,124.29,Derogongan Residence
125,redlands,US,86.0,34.06,-117.18,Dynasty Suites Redlands
130,faanui,PF,78.12,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,pemba,MZ,71.6,-12.97,40.52,Guesthouse Samotina
135,doha,QA,95.0,25.29,51.53,Movenpick Hotel Doha
138,salalah,OM,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
139,cabo san lucas,MX,86.0,22.89,-109.91,Hotel Tesoro Los Cabos
140,batagay-alyta,RU,79.29,67.8,130.41,
141,villamontes,BO,78.39,-21.25,-63.5,Hotel Raldes
144,tautira,PF,84.2,-17.73,-149.15,Pension Oaoa
147,chapais,CA,87.8,49.78,-74.85,Hôtel Opémiska
149,cape canaveral,US,89.6,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
